coffee_source_id	original_name	country	region	grade_label	process	is_decaf	varietals	name_override	composed_title	final_title
csrc_e6cac7ee284067a7	Brazil Mogiana	Brazil	Mogiana			f			Brazil Mogiana	Brazil Mogiana
csrc_5de796c028876030	Brazil Mogiana 15/16	Brazil	Mogiana	15/16		f			Brazil Mogiana 15/16	Brazil Mogiana 15/16
csrc_d7988f5e334bbb0f	Brazil Mogiana 15/17	Brazil	Mogiana	15/17		f			Brazil Mogiana 15/17	Brazil Mogiana 15/17
csrc_81f73985aac71db7	Brazil Mogiana 17/18	Brazil	Mogiana	17/18		f			Brazil Mogiana 17/18	Brazil Mogiana 17/18
csrc_7d11bddf8db2e72d	Brazil Sul De Minas	Brazil	Sul de Minas			f			Brazil Sul de Minas	Brazil Sul de Minas
csrc_23753f1ab6d3f9c9	Decaf Brazil (FLAVOR)	Brazil				t			Brazil Decaf	Brazil Decaf
csrc_0a84d7ad205487c5	Colombia Excelso	Colombia		Excelso		f			Colombia Excelso	Colombia Excelso
csrc_e59e36a550ac6cfe	Colombia Hulia Supremo	Colombia	Huila	Supremo		f			Colombia Huila Supremo	Colombia Huila Supremo
csrc_a62b479c16f3a46f	Colombia Medelin Excelso	Colombia	Medellin	Excelso		f			Colombia Medellin Excelso	Colombia Medellin Excelso
csrc_1619c377f98171c9	Colombia Supremo	Colombia		Supremo		f			Colombia Supremo	Colombia Supremo
csrc_241e8bed4968e9f0	Colombian Gesha	Colombia				f	Gesha	Colombia Gesha	Colombia	Colombia Gesha
csrc_058f4808fbf5f03e	Decaf Colombia (DECAF BLENDS)	Colombia				t			Colombia Decaf	Colombia Decaf
csrc_51dc895c7e973ba2	Organic Colombia	Colombia				f			Colombia	Colombia
csrc_c66f57af57b8205f	Costa Rica Tarrazu	Costa Rica	Tarrazu			f			Costa Rica Tarrazu	Costa Rica Tarrazu
csrc_167feec140bf4ccc	Decaf Mexico Esmeralda	Mexico	Esmeralda			t			Mexico Esmeralda Decaf	Mexico Esmeralda Decaf
798a628f-d9d0-42ea-ba65-77629775a8d3	Mexico Decaf	Mexico				t			Mexico Decaf	Mexico Decaf
csrc_c8bfd38d18d2a86b	Mexico Veracruz	Mexico	Veracruz			f			Mexico Veracruz	Mexico Veracruz
csrc_211af3db661e89ed	Organic Mexico	Mexico				f			Mexico	Mexico
csrc_214aa09f8d6df8d9	El Salvador	El Salvador				f			El Salvador	El Salvador
15c8cf88-62f9-4dbf-8d3a-eae6854e1c14	El Salvador Everest	El Salvador	Everest			f			El Salvador Everest	El Salvador Everest
csrc_254a56c3c710f2c2	Guatemala SHB	Guatemala		SHB		f			Guatemala SHB	Guatemala SHB
csrc_f48911ac42eb8b84	Honduras Calan	Honduras	Calan			f			Honduras Calan	Honduras Calan
