coffee_source_id	original_name	action	country	region	grade_label	process	is_decaf	certs	varietals	final_title
4574235f-7e3a-4bf1-8560-0ce2619e748d	Hawaii Kona No.3	archive								
aae70ef1-a9ce-4152-a760-aabeedfd8dba	Kau 18	archive								
4cb216bb-e7e2-4d87-bd69-9674ad39d908	Kau 18 Honey	archive								
2d7716a7-bbc3-4dff-880c-df2679640626	Kau 19	archive								
csrc_e912e88bdc7bb317	Kona #3	archive								
107396af-3b99-4c29-bf49-ecd6e8f05678	Mahi Pono h3	archive								
f47482ad-0c29-41e8-a85d-132cf6a61271	Maui Mokka 11	archive								
b41d7af7-e06d-4ca5-87c8-6b3cc480ac40	Maui mokka 14	archive								
d439446a-6523-4365-b18b-3fc98fb48a57	Organic Kona	archive								
csrc_e6cac7ee284067a7	Brazil Mogiana	keep	Brazil	Mogiana	SS FC					Brazil Mogiana SS FC
csrc_5de796c028876030	Brazil Mogiana 15/16	keep	Brazil	Mogiana	SS FC 15/16					Brazil Mogiana SS FC 15/16
csrc_d7988f5e334bbb0f	Brazil Mogiana 15/17	keep	Brazil	Mogiana	SS FC 15/17					Brazil Mogiana SS FC 15/17
csrc_81f73985aac71db7	Brazil Mogiana 17/18	keep	Brazil	Mogiana	SS FC 17/18					Brazil Mogiana SS FC 17/18
csrc_7d11bddf8db2e72d	Brazil Sul De Minas	keep	Brazil	Sul de Minas	SS FC					Brazil Sul de Minas SS FC
csrc_0a84d7ad205487c5	Colombia Excelso	keep	Colombia		Excelso EP					Colombia Excelso EP
csrc_e59e36a550ac6cfe	Colombia Hulia Supremo	keep	Colombia	Huila	Supremo					Colombia Huila Supremo
csrc_a62b479c16f3a46f	Colombia Medelin Excelso	keep	Colombia	Medellín	Excelso					Colombia Medellín Excelso
csrc_1619c377f98171c9	Colombia Supremo	keep	Colombia		Supremo					Colombia Supremo
csrc_241e8bed4968e9f0	Colombian Gesha	keep	Colombia						Gesha	Colombia Gesha
csrc_c66f57af57b8205f	Costa Rica Tarrazu	keep	Costa Rica	Tarrazú	SHB					Costa Rica Tarrazú SHB
csrc_23753f1ab6d3f9c9	Decaf Brazil (FLAVOR)	keep	Brazil				Y			Brazil Decaf
csrc_058f4808fbf5f03e	Decaf Colombia (DECAF BLENDS)	keep	Colombia				Y			Colombia Decaf
csrc_167feec140bf4ccc	Decaf Mexico Esmeralda	keep	Mexico	Esmeralda			Y			Mexico Esmeralda Decaf
csrc_214aa09f8d6df8d9	El Salvador	keep	El Salvador		SHG					El Salvador SHG
15c8cf88-62f9-4dbf-8d3a-eae6854e1c14	El Salvador Everest	keep	El Salvador	Everest						El Salvador Everest
csrc_254a56c3c710f2c2	Guatemala SHB	keep	Guatemala		SHB					Guatemala SHB
csrc_b95b8329674802f0	Hawaii No.3 (Kona)	keep	USA - Kona		#3					USA - Kona #3
csrc_f48911ac42eb8b84	Honduras Calan	keep	Honduras	Calán	SHG					Honduras Calán SHG
csrc_2c416abfbff80f03	Honduras Comsa	keep	Honduras	COMSA	SHG					Honduras COMSA SHG
csrc_548695e94eeac96e	Honduras Copan	keep	Honduras	Copán	SHG					Honduras Copán SHG
csrc_fec67ce029c1abd0	Honduras Siguatepeque	keep	Honduras	Siguatepeque	SHG					Honduras Siguatepeque SHG
csrc_419905aff309b85a	Ka'u #16,17,18,19	keep	USA - Ka'u		#16/17/18/19					USA - Ka'u #16/17/18/19
csrc_b12267adaddfb9fb	Ka'u #18 Semi Washed (Honey)	keep	USA - Ka'u		#18	Honey				USA - Ka'u #18 Honey
csrc_a110e005da5a37f0	Ka'u #19 Natural	keep	USA - Ka'u		#19	Natural				USA - Ka'u #19 Natural
csrc_c46a36549e65eff7	Ka'u Honey	keep	USA - Ka'u			Honey				USA - Ka'u Honey
csrc_22b6cff651892be0	Ka'u Natutal # 18	keep	USA - Ka'u		#18	Natural				USA - Ka'u #18 Natural
csrc_54f520e29c3c78d2	Kona Castaway Estate	keep	USA - Kona	Castaway Estate						USA - Kona Castaway Estate
csrc_3983ca85110c4fa5	Kona Castaway Reserve	keep	USA - Kona	Castaway Reserve						USA - Kona Castaway Reserve
csrc_3ee355aeaa090e0d	Kona Decaf	keep	USA - Kona				Y			USA - Kona Decaf
csrc_cd00fb0683a9171d	Kona Organic	keep	USA - Kona					Organic		USA - Kona Organic
csrc_5b2aa7260e08ff80	Kona Peaberry	keep	USA - Kona							USA - Kona Peaberry
csrc_e2a2740c094d113c	Kona Prime 16/17	keep	USA - Kona		Prime 16/17					USA - Kona Prime 16/17
csrc_4952616625ead19a	Kona Prime 18/19	keep	USA - Kona		Prime 18/19					USA - Kona Prime 18/19
csrc_e8146f2795c12d52	Kona Prime Peaberry	keep	USA - Kona		Prime					USA - Kona Prime Peaberry
csrc_05fece7c03fc47c7	Maui Dec Yellow 14	keep	USA - Maui	Yellow	14		Y			USA - Maui Yellow 14 Decaf
csrc_a6837a97a66e2a7e	Maui H3	keep	USA - Maui		H3					USA - Maui H3
csrc_44109ca9903ae026	Maui Moka 11	keep	USA - Maui		11				Mokka	USA - Maui 11
csrc_487d98cba93b6956	Maui Moka 14	keep	USA - Maui		14				Mokka	USA - Maui 14
csrc_0d41704569f55641	Maui Red / Yellow Natural/Wash	keep	USA - Maui	Red / Yellow		Natural / Washed				USA - Maui Red / Yellow Natural / Washed
csrc_ae0824323728699f	Maui Red 14	keep	USA - Maui	Red	14					USA - Maui Red 14
csrc_0f87e935cf02c610	Maui Red Catuai Wash	keep	USA - Maui	Red		Washed			Catuai	USA - Maui Red Washed
csrc_e9a889b35f8b992e	Maui Red H3	keep	USA - Maui	Red	H3					USA - Maui Red H3
csrc_4e30e28a5edaac06	Maui Red Natural 16	keep	USA - Maui	Red	16	Natural				USA - Maui Red 16 Natural
csrc_8cac746b77fa5e30	Maui Red Peaberry	keep	USA - Maui	Red						USA - Maui Red Peaberry
a1b7c502-64c5-4d6e-98a4-9d8745e40e1a	Maui Yellow	keep	USA - Maui	Yellow						USA - Maui Yellow
csrc_d11df67fcd1d3bd9	Maui Yellow 16	keep	USA - Maui	Yellow	16					USA - Maui Yellow 16
csrc_d793c3dba1f9c7d9	Maui Yellow H3 Natural	keep	USA - Maui	Yellow	H3	Natural				USA - Maui Yellow H3 Natural
csrc_bfd0fd07d8f36e9e	Maui Yellow Peaberry	keep	USA - Maui	Yellow						USA - Maui Yellow Peaberry
798a628f-d9d0-42ea-ba65-77629775a8d3	Mexico Decaf	keep	Mexico				Y			Mexico Decaf
csrc_c8bfd38d18d2a86b	Mexico Veracruz	keep	Mexico	Veracruz	HG					Mexico Veracruz HG
csrc_7c9c7f0eca21d029	Nicaragu Olomega Supreme	keep	Nicaragua	Olomega	SHG					Nicaragua Olomega SHG
csrc_0c03c745fe7bc804	Nicaragu Robusta	keep	Nicaragua						Robusta	Nicaragua Robusta
53b6f685-6a2f-4dcd-b9ad-732aac9fcb12	Nicaragua Olomega	keep	Nicaragua	Olomega						Nicaragua Olomega
csrc_51dc895c7e973ba2	Organic Colombia	keep	Colombia		Excelso EP			Organic		Colombia Excelso EP Organic
csrc_e58386e99c4408e6	Organic Honduras Comsa	keep	Honduras	COMSA	SHG			Organic		Honduras COMSA SHG Organic
csrc_90760e479a2af138	Organic Honduras Copan	keep	Honduras	Copán	SHG			Organic		Honduras Copán SHG Organic
csrc_211af3db661e89ed	Organic Mexico	keep	Mexico		HG			Organic		Mexico HG Organic
csrc_10b5149aecee5e0d	Organic Nicaragua	keep	Nicaragua		SHG			Organic		Nicaragua SHG Organic
csrc_209100c254f6e64d	Organic Papua New Guinea	keep	Papua New Guinea					Organic		Papua New Guinea Organic
csrc_1483d3f39c6ded9f	Organic Peru	keep	Peru					Organic		Peru Organic
csrc_c8a7362b8bc1d2fc	Organic Peru Selva Andina	keep	Peru	Selva Andina				Organic		Peru Selva Andina Organic
csrc_c9f7cf5ed2d057ae	Organic PNG Simbu	keep	Papua New Guinea	Simbu				Organic		Papua New Guinea Simbu Organic
csrc_936ef021d0846852	Organic Timor Peaberry	keep	Timor					Organic		Timor Peaberry Organic
csrc_27019e3a8b1d2c6a	Papa New Guinea (not peaberry)	keep	Papua New Guinea							Papua New Guinea
csrc_d2bed255e650be0e	Papa New Guinea Peaberry	keep	Papua New Guinea							Papua New Guinea Peaberry
csrc_9e22c4ecd79db3bb	PERU FT-FLO/USA ORGANIC CAFE DE MUJER APROCCURMA	keep	Peru	Café de Mujer APROCCURMA				Organic|Fair Trade		Peru Café de Mujer APROCCURMA Organic Fair Trade
csrc_c3692df4e5b76f59	Peru Vida Alta	keep	Peru	Vida Alta						Peru Vida Alta
csrc_ce35b4d21f498f12	Sumatra	keep	Indonesia	Sumatra						Indonesia Sumatra
csrc_b39931a7edd8a6e3	Sumatra Takengon & Sulawesi	keep	Indonesia	Sumatra Takengon & Sulawesi						Indonesia Sumatra Takengon & Sulawesi
csrc_f9c78ea8c2cdba62	Yemen Mocca	keep	Yemen						Mokka	Yemen Mokka
